"County",2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
"Albany",135742,137748,137622,143362,142791,138753,152874,152358,162604,152275,160997,165942,158949,145182,151215,153965,151496
"Allegany",15121,16335,15128,15887,16360,17756,17990,16415,18359,16617,19613,20381,23632,20758,22634,21978,20829
"Broome",98970,102751,105846,111837,110535,111472,103745,104126,109174,106160,106374,102272,100705,103589,106428,105179,106822
"Cattaraugus",22836,23828,24429,24138,22439,23618,22619,23121,26328,25871,26653,28740,30222,28438,30932,31781,29629
"Cayuga",32462,37020,35287,30406,28553,33334,37166,39578,46430,41752,40094,37188,37957,37409,38734,38333,37453
"Chautauqua",40651,45417,45986,27932,36739,44821,52079,41742,44616,44176,43714,44273,47472,45952,49662,47856,48124
"Chemung",32006,34386,30210,33604,32769,31952,32105,34163,36227,29698,30088,31773,33921,33957,32938,34953,35433
"Chenango",21856,21913,21769,22001,22842,26227,22383,22817,24131,19128,20080,19055,21187,22637,23855,23040,22909
"Clinton",45703,46980,45007,47160,42684,41188,38820,42154,39084,39171,39250,38384,40595,38690,39672,40925,40409
"Columbia",35203,35873,35334,37524,34364,39965,38886,40381,44458,42020,41304,37236,37449,36004,36078,36916,35553
"Cortland",24411,24814,23866,24222,25410,26494,26261,28473,30164,28542,28154,27314,29942,29370,29640,30108,27441
"Delaware",21948,23527,22546,22499,22927,23860,23738,28178,23340,21758,18630,16659,17316,17305,17804,17720,17873
"Dutchess",107876,109669,106157,113684,113342,111982,113351,122481,121409,118751,118795,110751,109229,104901,104202,103397,103968
"Erie",382784,385719,381156,414448,401329,411589,355590,365482,385492,380025,383778,369690,403948,381306,389595,398705,388960
"Essex",18292,19555,19366,19165,19091,20804,22318,19532,19993,19018,19071,18665,20140,17933,18378,18681,16609
"Franklin",17934,19220,19482,19932,18607,19170,16071,16712,17889,17990,19083,18042,18392,17754,19210,18769,16054
"Fulton",23652,24310,26659,26282,25596,31340,22411,22757,25272,26471,25739,22430,20417,18693,21446,21687,21099
"Genesee",51877,55086,51817,62303,62268,60724,58757,60035,61960,60638,58831,61231,54292,50236,46394,46963,44469
"Greene",27446,27821,27232,28357,30227,33579,29917,31935,30893,31309,29697,28332,31201,28687,28978,27686,27393
"Hamilton",2886,3050,3127,1674,2312,2712,3121,3333,3482,3442,3473,3316,3635,3165,3093,3336,3215
"Herkimer",29841,29992,28411,28732,27593,28645,28449,30621,31938,33084,31302,30378,32148,29680,30746,29977,30516
"Jefferson",57139,61641,63801,40736,50995,56660,65960,54511,48952,47304,46593,49454,51419,51113,52054,53331,48636
"Lewis",12071,12325,11305,11301,11544,12685,13605,13151,12425,13511,12699,11744,13727,12258,12438,11986,11513
"Livingston",37591,36172,34510,36597,37663,40028,37292,39831,37614,35777,35388,37881,38780,36919,37478,37990,31575
"Madison",19855,19775,19661,18915,19993,21507,23625,22659,20798,21434,22069,23340,25642,22944,23660,22102,23824
"Monroe",288428,292420,288062,295797,288152,287690,278775,289268,305754,297012,294908,288791,303912,301102,306444,312186,309842
"Montgomery",39481,39732,42293,44011,43291,42177,39471,39866,37686,37868,37948,34096,35251,36234,34689,34260,32495
"Nassau",497383,497893,491570,496398,527853,511597,505979,528766,537693,564684,541332,509160,563340,561483,555507,550216,568006
"Niagara",77871,74298,66563,70947,68661,66969,64313,66714,66012,63129,63084,64743,71755,70751,75509,72475,71566
"Oneida",103460,109012,108813,73914,91200,105834,123399,99300,106746,106434,102756,100323,105862,103337,105837,106005,108442
"Onondaga",238207,241230,233343,200490,194965,220660,264343,221199,218520,215685,204589,195942,201285,201478,202664,196103,188941
"Ontario",60295,63926,57842,61800,63839,63978,63644,65249,67257,64345,66022,62826,58256,57026,58163,57215,53916
"Orange",160558,165375,164007,173083,169831,158940,165767,163442,154107,149539,141724,136399,145006,138709,134804,134308,135332
"Orleans",11694,11728,14251,14078,11945,12842,11688,12371,13385,14049,13968,13428,14834,15641,16345,16584,16304
"Oswego",55452,57884,56326,41871,46923,57399,68010,58681,56185,57505,53228,53617,59838,53860,45505,57383,57796
"Otsego",31215,32508,32756,34196,34516,35147,33994,39751,31470,30642,30277,29141,26851,27794,28363,27925,27592
"Putnam",43905,45563,46346,48718,48193,42478,38659,41176,43173,38719,40856,42297,39191,40480,39095,37031,36185
"Rensselaer",71911,76121,75503,79154,70551,66043,66890,67514,73112,65477,65771,68785,60462,58236,61935,63112,60737
"Rockland",49695,53822,50026,49924,42131,48178,52550,55193,61852,62101,58155,59678,57584,55608,56274,54826,57282
"St. Lawrence",39931,40675,39311,40035,40401,39980,39765,38990,40573,39445,42713,40946,40945,39610,40578,42134,39902
"Saratoga",102836,105060,102506,108792,100318,95996,98836,99556,102502,98029,91695,87765,83761,78743,85752,85187,82282
"Schenectady",69178,68727,64054,67906,68380,65696,66608,70644,69915,63413,63543,63630,64746,57264,69618,59622,61303
"Schoharie",14116,16670,14614,14138,14727,16891,14983,14887,13791,13687,12907,11955,12901,12481,12741,13077,12832
"Schuyler",8450,8881,9000,9207,8816,9072,9104,9705,9797,9641,8958,9546,8099,8164,7344,7275,6604
"Seneca",16273,20679,25028,18214,24354,26428,25024,18641,20253,16508,15475,14782,15192,14275,14081,14183,14832
"Steuben",53186,54417,53204,53283,51478,51084,49325,49270,51431,49856,48861,50135,49701,48304,47380,52496,49003
"Suffolk",598640,666099,663649,678487,705045,694634,688339,703078,719674,676219,645499,611449,647105,661438,628699,634638,674864
"Sullivan",24848,28062,30839,34324,36745,37440,34966,37381,38884,36903,39984,35564,37545,38852,35197,35067,35809
"Tioga",21901,22311,20673,20012,20148,19952,19139,21708,21088,20652,20626,19732,20316,20990,19861,20448,21200
"Tompkins",33352,33618,32211,33950,35576,36531,35589,35980,38169,37137,36458,34068,36141,36677,37548,36087,36874
"Ulster",95679,95808,91007,88753,90038,91706,86762,87149,93557,85034,85692,79841,80222,76546,77801,79534,78646
"Warren",39678,40658,40709,41302,40957,41367,39233,39937,43865,41182,40123,38908,37721,37357,37996,37601,35584
"Washington",14633,16494,17165,17221,19533,20162,19489,20519,22599,21105,21318,19883,20456,20434,21072,19396,19101
"Wayne",39054,39353,37990,38894,40306,41126,38880,44994,39179,40569,41645,40223,42175,41937,43334,42893,43272
"Westchester",279772,295570,295461,248935,270922,262300,242131,240416,231138,281996,276384,274791,264286,268686,260562,253515,257127
"Wyoming",16366,16824,16879,17743,16485,17848,17792,17645,17879,17760,17601,18764,18899,18939,18786,18863,18050
"Yates",7829,7906,7433,8064,7840,8230,8738,8654,8573,8400,7919,8217,9046,9113,8601,9177,8006
"New York City",1026928,1087228,1019417,1048061,1086366,1051384,1083697,1145506,1101852,1107540,1065149,1165989,1131514,1094937,1072005,1067582,1104719
"Statewide Total",5548356,5781480,5644564,5634402,5739459,5784552,5755012,5829696,5880701,5808184,5678637,5639889,5766518,5641370,5627351,5625772,5666246
